,Region,"Avg_GDP($,B,PPP)",Avg_Public_Debt(%),Avg_Gov_Expenditure(%),#_of_Countries
0,Americas,971.4249999999998,58.481249999999996,30.453124999999993,32
1,Asia-Pacific,1296.5190476190478,46.70714285714287,31.640476190476193,42
2,Europe,658.234090909091,59.95000000000002,41.42727272727273,44
3,Middle East and North Africa,553.9714285714285,61.49999999999999,35.21428571428571,14
4,Sub-Saharan Africa,85.25319148936167,58.33617021276595,26.917021276595747,47
